T0	T1	T2	T3	T4	T5	T6	GENE
0.73	0.87	1.09	0.19	0.1	-1.63	-1.35	YHR007C
-0.85	-0.51	-0.38	-0.51	-0.59	0.64	2.2	YAL054C
-0.43	-0.38	0.24	-0.63	-1.54	1.15	1.59	YOL109W
-0.98	-0.76	0.21	-0.83	-0.59	1.64	1.3	YAL067C
1.15	0.87	0.82	0.13	-0.21	-0.92	-1.83	YAL003W
0.78	0.66	1.25	0.06	-0.1	-0.65	-1.99	YAL012W
-1.22	-0.98	0.79	-0.76	-0.29	1.54	0.93	YAL018C
0.82	0.82	0.77	0.03	0.62	-1.69	-1.36	YAL023C
1.2	0.77	0.87	0.06	0	-1.35	-1.54	YAL025C
-1.04	-0.01	-0.34	-0.87	-0.73	1.35	1.64	YAL034C
0.9	0.76	1.22	-0.14	0.02	-1.01	-1.76	YAL036C
0.73	0.84	0.95	0.2	0.17	-0.9	-1.99	YAL038W
1.41	1.11	-0.11	-1.36	-0.14	-1.31	0.4	YAL043C
1.1	0.81	1.1	-0.3	0.02	-1.12	-1.6	YAL046C
0.66	1.43	1.02	-0.17	-0.46	-0.9	-1.56	YAL059W
-0.91	-0.63	-0.78	-0.32	-0.38	1.92	1.11	YAL060W
1.14	1.01	1.04	-0.01	-0.72	-1.02	-1.44	YAR071W
0.77	0.91	0.94	0.36	-0.01	-1.23	-1.75	YAR073W
0.96	1.07	0.93	0.08	-0.22	-1.26	-1.56	YAR074C
-0.76	-0.64	-0.67	-0.6	-0.46	1.32	1.81	YBL015W
1.25	0.72	1.01	0.05	-0.27	-1.24	-1.51	YBL024W
0.61	0.58	1	0.38	0.26	-0.67	-2.15	YBL027W
-0.85	-0.98	-0.71	-0.38	-0.05	1.83	1.15	YBL038W
0.9	1.18	1.04	0.05	-0.69	-0.9	-1.56	YBL039C
-0.87	-0.34	-0.39	-0.59	-0.89	1.37	1.72	YBL043W
-0.84	-0.92	-0.14	-0.32	-0.74	1.03	1.93	YBL045C
-0.69	-0.39	-0.6	-0.67	-0.77	1.72	1.41	YBL048W
-0.87	-0.31	-0.29	-0.54	-1.05	1.46	1.59	YBL049W
1.39	1.03	0.8	-1.24	-0.79	-0.09	-1.1	YBL054W
-0.77	-1.04	-0.48	-0.34	-0.44	1.77	1.29	YBL064C
1.49	0.84	1.04	-0.49	-0.98	-0.93	-0.96	YBL068W
-0.48	-0.83	-0.57	-0.69	-0.57	1.45	1.69	YBL075C
0.87	0.98	0.76	0.31	0.11	-1.45	-1.58	YBL076C
-1.03	-0.8	-0.51	-0.41	-0.33	1.63	1.45	YBL078C
0.63	0.74	1.21	0.34	0.04	-1.25	-1.71	YBL087C
-1.07	-1.04	-0.07	-0.66	0.21	0.68	1.96	YBL099W
-0.95	-0.85	-0.59	-0.36	0.04	0.57	2.14	YBL100C
-0.76	-0.97	-0.01	0.19	-1.17	0.91	1.8	YBR001C
-1.76	-0.72	0.13	-0.01	-0.23	1.3	1.28	YBR006W
0.43	0.62	0.87	0.6	0.38	-0.74	-2.15	YBR032W
0.87	1.15	1.22	-0.9	-0.87	-0.1	-1.36	YBR034C
-0.64	-1.04	-0.1	-0.77	-0.37	0.96	1.96	YBR039W
-0.78	0.37	-1.09	-0.6	-0.76	1.63	1.22	YBR046C
0.89	0.98	0.85	0.33	-0.3	-0.86	-1.89	YBR048W
-1.53	-0.93	-0.06	0.41	-0.27	1.77	0.62	YBR052C
-0.78	-0.74	0.12	-0.2	-1.26	1.7	1.16	YBR053C
-1.46	-1.36	0.09	0.34	0.05	1.44	0.91	YBR054W
-1.47	-1.2	-0.06	0.48	-0.21	1.42	1.04	YBR056W
-0.67	-0.65	-0.4	-0.66	-0.76	1.44	1.7	YBR067C
1	0.83	1.12	-0.49	-0.87	-1.75	0.16	YBR069C
-1.11	-0.77	-0.81	-0.3	0.06	1.73	1.2	YBR072W
1.19	0.93	0.85	-0.08	-0.22	-0.86	-1.79	YBR079C
1.05	1.2	0.55	0.22	-0.25	-1.06	-1.71	YBR089W
0.88	0.87	1.09	0.23	-0.3	-1.02	-1.75	YBR092C
0.83	0.67	1.5	0.08	-0.47	-1.31	-1.3	YBR093C
-0.65	-0.67	-0.52	-0.75	-0.57	1.5	1.65	YBR101C
